order_id,user_id,product_id,category,product_name,region,status,priority,base_price,amount,order_date
ORD1001,U1009,P150,Furniture,Table,Central,Completed,Low,9873.16,11731.88,2024-04-02
ORD1002,U1011,P153,Electronics,Smartwatch,Central,Completed,High,6657.46,7444.51,2024-11-21
ORD1003,U1006,P173,Books,Python Guide,South,Cancelled,Medium,11717.44,12809.1,2024-03-18
ORD1003,U1006,P173,Books,Python Guide,South,Cancelled,Medium,11717.44,12809.1,2024-03-18
ORD1005,U1063,P107,Electronics,Tablet,East,Processing,Low,8196.76,15206.5,2024-08-12
ORD1006,U1031,P123,Furniture,Table,West,Cancelled,Low,,1719.05,2024-08-10
ORD1007,U1021,P115,Books,Python Guide,West,Processing,High,9109.98,11879.13,2024-11-03
ORD1008,U1044,P140,Books,Cloud Basics,West,Completed,High,7173.0,15492.18,2024-05-16
ORD1009,U1039,P107,Grocery,Rice,West,Cancelled,Low,7800.83,23294.78,2024-07-22
ORD1010,U1078,P159,Furniture,Chair,East,Pending,Low,1493.44,1669.53,2024-04-13
ORD1011,U1051,P110,Sports,Dumbbells,West,Cancelled,Low,6638.33,,2024-07-12
ORD1012,U1022,P129,Grocery,Sugar,North,Processing,Low,1900.45,4403.41,2024-03-09
ORD1013,U1047,P118,Furniture,Chair,South,Completed,Medium,7356.77,12044.68,2024-11-26
ORD1014,U1013,P150,Books,SQL Mastery,South,Completed,High,5830.12,10499.38,2024-08-06
ORD1015,U1000,P176,Electronics,Headphones,East,Completed,High,6844.72,14190.73,2024-04-20
ORD1016,U1044,P181,Sports,Football,North,Processing,Medium,7267.12,14158.55,2024-08-16
ORD1017,U1043,P118,Furniture,Chair,South,Completed,High,8910.18,17439.4,2024-09-12
ORD1018,U1038,P103,Clothing,Kurta,East,Cancelled,High,11744.16,32022.21,2024-06-25
ORD1019,U1042,P169,Clothing,Kurta,South,Pending,Medium,7673.66,17085.07,2024-12-26
ORD1020,U1093,P166,Clothing,Jeans,East,Processing,Medium,444.86,469.72,2024-04-23
ORD1021,U1092,P157,Books,Data Science,East,Completed,High,11857.65,34505.78,2024-02-08
ORD1022,U1079,P143,Sports,Football,North,Processing,Low,11824.46,26256.5,2024-06-26
ORD1023,U1049,P184,Grocery,Rice,West,Pending,Medium,9409.4,23526.14,2024-11-11
ORD1024,U1010,P159,Electronics,Smartwatch,South,Completed,High,8725.1,11691.7,2024-10-15
ORD1025,U1060,P178,Grocery,Dal,Central,Pending,High,7921.49,13472.99,2024-01-26
ORD1026,U1017,P167,Grocery,Rice,South,Completed,Medium,5262.33,14437.13,2024-04-10
ORD1027,U1033,P197,Books,ML Handbook,North,Cancelled,Medium,6577.8,17552.14,2024-11-19
ORD1028,U1019,P164,Books,SQL Mastery,West,Pending,Low,6329.73,6566.52,2024-01-25
ORD1029,U1092,P118,Clothing,Jeans,Central,Processing,High,1532.01,1721.23,2024-09-02
ORD1030,U1012,P135,Clothing,Jeans,North,Processing,Medium,6141.8,13041.86,2024-10-17
ORD1031,U1057,P125,Books,Cloud Basics,Central,Pending,Low,6147.06,16072.87,2024-09-09
ORD1032,U1015,P157,Books,ML Handbook,South,Processing,High,4769.14,7783.04,2024-04-22
ORD1033,U1091,P199,Furniture,Chair,East,Pending,Medium,7757.15,13438.23,2024-04-24
ORD1034,U1085,P162,Electronics,Smartwatch,West,Processing,Medium,10006.09,13237.38,2024-07-07
ORD1035,U1002,P111,Furniture,Sofa,North,Processing,Medium,4121.96,7903.21,2024-09-20
ORD1036,U1029,P108,Furniture,Shelf,East,Cancelled,High,11663.18,14107.31,2024-03-09
ORD1037,U1033,P186,Clothing,Shoes,Central,Processing,Low,4930.78,10222.48,2024-06-03
ORD1038,U1009,P188,Furniture,Chair,North,Cancelled,High,3300.19,3411.29,2024-10-28
ORD1039,U1058,P133,Clothing,T-Shirt,West,Cancelled,Low,237.4,709.5,2024-03-02
ORD1040,U1033,P114,Books,ML Handbook,East,Cancelled,Low,699.52,981.8,2024-04-10
ORD1041,U1044,P186,Sports,Cycle,North,Completed,High,9663.78,28885.02,2024-12-17
ORD1042,U1057,P165,Books,ML Handbook,West,Processing,Low,1364.75,3599.99,2024-07-17
ORD1043,U1090,P129,Furniture,Table,East,Completed,High,8773.25,11224.83,2024-01-03
ORD1044,U1010,P155,Grocery,Oil,Central,Cancelled,Low,8016.21,14122.67,2024-04-23
ORD1045,U1034,P158,Furniture,Chair,East,Cancelled,High,5405.31,8251.13,2024-01-10
ORD1046,,P123,Clothing,Jacket,Central,Pending,High,4641.36,9047.34,2024-09-25
ORD1047,U1018,P133,Electronics,Laptop,North,Cancelled,Medium,4854.18,5258.7,2024-11-08
ORD1048,U1019,P167,Electronics,Tablet,Central,Processing,Medium,7924.77,19272.94,2024-12-16
ORD1049,U1018,P192,Clothing,Jacket,Central,Processing,Low,621.08,1658.64,2024-12-26
ORD1050,U1072,P167,Books,ML Handbook,Central,Pending,High,10035.76,26186.86,2024-01-02
ORD1051,U1057,P113,Clothing,Jacket,Central,Pending,Medium,6746.47,15216.89,2024-05-01
ORD1052,U1068,P195,Sports,Cricket Bat,West,Cancelled,High,1194.11,2450.29,2024-05-08
ORD1053,U1058,P129,Grocery,Dal,West,Cancelled,High,5977.99,10551.88,2024-10-21
ORD1054,U1042,P109,Grocery,Dal,East,Pending,High,3121.89,7762.38,2024-08-02
ORD1055,U1027,P186,Sports,Yoga Mat,Central,Cancelled,Medium,8140.92,12876.6,2024-08-15
ORD1056,U1010,P125,Electronics,Tablet,West,Completed,Low,11241.43,11634.98,2024-08-09
ORD1057,U1011,P126,Sports,Football,East,Pending,Low,1786.71,3659.42,2024-11-17
ORD1058,U1063,P190,Furniture,Chair,North,Pending,High,10782.7,21266.52,2024-08-22
ORD1059,U1053,P138,Sports,Dumbbells,East,Completed,Medium,4193.13,6843.84,2024-06-27
ORD1060,U1094,P125,Sports,Cricket Bat,West,Processing,Low,3549.01,6191.05,2024-02-12
ORD1061,U1006,P106,Sports,Yoga Mat,South,Pending,Medium,10032.64,15763.75,2024-07-17
ORD1062,U1054,P198,Furniture,Table,West,Pending,Low,10622.77,27873.35,2024-02-02
ORD1063,U1017,P157,Grocery,Sugar,North,Pending,High,7769.44,12216.8,2024-08-14
ORD1064,U1094,P138,Furniture,Sofa,South,Cancelled,Medium,11717.92,17815.2,2024-09-22
ORD1065,U1009,P121,Sports,Cricket Bat,West,Pending,Medium,2573.68,7236.98,2024-06-25
ORD1066,U1031,P117,Sports,Dumbbells,North,Cancelled,High,1179.5,1986.17,2024-06-09
ORD1067,U1052,P102,Books,ML Handbook,South,Processing,Medium,4655.77,11600.69,2024-06-25
ORD1068,U1046,P135,Electronics,Smartwatch,South,Completed,Medium,1597.9,3206.65,2024-04-13
ORD1069,U1002,P155,Sports,Dumbbells,West,Processing,High,1614.24,2986.99,2024-02-13
ORD1070,U1013,P157,Books,SQL Mastery,North,Processing,High,2763.22,3603.62,2024-09-25
ORD1071,U1004,P116,Electronics,Laptop,South,Cancelled,Low,7781.52,12509.3,2024-11-14
ORD1072,U1067,P112,Grocery,Rice,East,Pending,Low,11328.13,15671.38,2024-01-01
ORD1073,U1040,P158,Books,Data Science,West,Pending,Low,7770.45,21505.09,2024-04-01
ORD1074,,P107,Sports,Yoga Mat,West,Completed,Medium,6029.89,14163.77,2024-04-22
ORD1075,U1089,P129,Sports,Yoga Mat,West,Pending,High,4122.81,7590.56,2024-05-24
ORD1076,U1025,P126,Books,Python Guide,South,Processing,High,3809.42,10056.9,2024-05-25
ORD1077,U1023,P179,Furniture,Chair,North,Pending,Medium,10768.07,21214.23,2024-01-07
ORD1078,U1090,P118,Electronics,Tablet,East,Completed,High,815.61,1457.2,2024-03-11
ORD1079,U1095,P183,Clothing,Jeans,West,Cancelled,Medium,5664.63,9197.4,2024-08-06
ORD1080,U1044,P110,Electronics,Laptop,Central,Pending,Medium,5100.18,14129.26,2024-06-25
ORD1081,U1060,P111,Furniture,Bed,West,Pending,Medium,2429.02,5059.79,2024-06-24
ORD1082,U1080,P180,Sports,Cricket Bat,North,Processing,High,9223.35,9973.2,2024-01-09
ORD1083,U1034,P177,Clothing,T-Shirt,North,Cancelled,Low,4086.15,11880.58,2024-12-23
ORD1084,,P138,Furniture,Sofa,North,Completed,High,9092.26,25757.64,2024-02-16
ORD1085,U1032,P199,Grocery,Sugar,South,Processing,High,10971.17,28849.79,2024-01-26
ORD1086,U1077,P188,Grocery,Oil,West,Cancelled,Low,2910.1,7922.7,2024-02-17
ORD1087,U1052,P196,Clothing,Shoes,Central,Cancelled,High,870.32,929.26,2024-07-04
ORD1088,U1012,P179,Electronics,Headphones,West,Pending,High,5110.62,15213.62,2024-03-14
ORD1089,U1068,P186,Sports,Cycle,North,Cancelled,Medium,10179.15,23705.72,2024-05-19
ORD1090,U1025,P132,Furniture,Sofa,South,Pending,Medium,5328.83,7308.35,2024-10-07
ORD1091,U1031,P150,Furniture,Chair,North,Processing,High,6137.16,8977.2,2024-02-01
ORD1092,U1005,P157,Sports,Football,North,Pending,Low,10534.9,15441.9,2024-10-07
ORD1093,U1057,P165,Electronics,Headphones,North,Completed,Low,7276.2,18554.28,2024-10-23
ORD1094,,P127,Books,Data Science,East,Completed,Low,4146.2,4512.45,2024-12-21
ORD1095,U1047,P141,Clothing,T-Shirt,South,Completed,Medium,2303.23,3741.35,2024-09-16
ORD1096,U1084,P112,Electronics,Smartwatch,North,Pending,Medium,6646.64,15143.46,2024-12-09
ORD1097,U1006,P185,Sports,Yoga Mat,East,Processing,Medium,3817.11,8142.05,2024-01-28
