item_id,order_id,product_id,quantity,unit_price,discount_percent
I000001,O00001,P0152,-4,8323.92,26.38
I000002,O00001,P0028,8,2766.25,26.32
I000003,O00001,P0083,6,6596.11,38.04
I000004,O00002,P0188,4,8035.42,11.32
I000005,O00002,P0146,1,5516.85,24.09
I000006,O00002,P0034,2,1862.31,38.6
I000007,O00003,P0023,7,2920.87,30.1
I000008,O00003,P0006,3,4959.37,17.29
I000009,O00003,P0054,5,6074.78,14.36
I000010,O00003,P0042,2,5175.27,19.58
I000011,O00004,P0122,7,4283.11,14.73
I000012,O00004,P0069,3,4317.57,1.62
I000013,O00004,P0145,6,6796.76,25.9
I000014,O00004,P0154,3,5320.06,25.89
I000015,O00005,P0075,8,9081.36,19.1
I000016,O00006,P0033,5,5278.61,11.82
I000017,O00006,P0176,1,9181.29,20.54
I000018,O00007,P0106,10,3619.03,23.42
I000019,O00007,P0025,-4,1877.57,7.29
I000020,O00007,P0119,7,4220.89,28.18
I000021,O00007,P0170,6,4604.48,26.81
I000022,O00008,P0088,3,9823.64,10.37
I000023,O00008,P0048,2,277.36,15.8
I000024,O00008,P0055,1,4823.49,27.67
I000025,O00009,P0078,7,967.59,5.4
I000026,O00009,P0159,4,257.26,38.82
I000027,O00009,P0158,1,6521.37,25.99
I000028,O00009,P0093,7,8596.07,21.54
I000029,O00010,P0078,8,4276.6,4.66
I000030,O00011,P0190,8,4767.74,34.39
I000031,O00011,P0180,10,3018.83,33.18
I000032,O00012,P0014,7,8501.3,29.48
I000033,O00012,P0086,10,9990.36,1.48
I000034,O00012,P0003,7,5951.29,24.46
I000035,O00012,P0027,8,700.98,0.76
I000036,O00013,P0142,7,1257.71,24.91
I000037,O00013,P0017,6,4418.68,6.45
I000038,O00013,P0069,4,4437.3,20.31
I000039,O00014,P0155,8,3004.6,28.46
I000040,O00014,P0184,7,6763.76,29.38
I000041,O00014,P0169,8,8460.86,24.87
I000042,O00015,P0177,8,2074.89,24.23
I000043,O00015,P0192,2,9436.24,19.75
I000044,O00015,P0023,4,565.79,0.73
I000045,O00016,P0092,3,8955.13,1.28
I000046,O00016,P0174,2,1228.3,9.07
I000047,O00016,P0041,9,2652.44,13.61
I000048,O00017,P0197,9,1596.67,27.61
I000049,O00017,P0012,9,1131.01,2.02
I000050,O00017,P0198,8,9630.21,30.23
I000051,O00018,P0157,10,9479.1,32.94
I000052,O00019,P0130,2,1268.79,8.22
