order_id,customer_id,order_date,status,region_code
O00001,C0033,2025-09-23 09:58:23,RETURNED,NORTH
O00002,C0184,2025-12-24 18:46:33,PLACED,EAST
O00003,C0045,2025-12-01 11:24:35,CANCELLED,WEST
O00004,C0016,2024-09-05 18:53:23,RETURNED,SOUTH
O00005,C0408,2023-07-31 20:40:09,RETURNED,EAST
O00006,C0347,2025-09-11 22:56:09,DELIVERED,NORTH
O00007,C0073,2025-05-09 20:52:38,PLACED,CENTRAL
O00008,C0281,2025-07-15 20:54:23,DELIVERED,SOUTH
O00009,C0464,2024-06-18 03:43:07,RETURNED,SOUTH
O00010,C0316,2023-09-08 00:48:48,SHIPPED,NORTH
O00011,C0291,2023-10-09 17:30:56,RETURNED,WEST
O00012,C0149,2025-09-28 11:12:28,DELIVERED,NORTH
O00013,C0250,2023-11-03 16:15:40,DELIVERED,SOUTH
O00014,C0052,2025-11-08 19:42:45,PLACED,SOUTH
O00015,C0169,2024-05-08 15:55:06,DELIVERED,CENTRAL
O00016,C0187,2023-08-25 17:41:45,CANCELLED,SOUTH
O00017,C0403,2023-01-08 12:08:44,CANCELLED,EAST
O00018,C0376,2024-07-12 10:36:34,CANCELLED,WEST
O00019,C0157,2024-11-22 20:08:55,PLACED,SOUTH
O00020,C0431,2025-09-29 19:54:29,SHIPPED,CENTRAL
O00021,C0454,2023-11-02 03:30:47,PLACED,NORTH
O00022,C0417,2025-02-26 20:58:40,CANCELLED,CENTRAL
O00023,C0283,2023-11-27 12:17:35,RETURNED,WEST
O00024,C0188,2025-10-12 19:27:44,RETURNED,EAST
O00025,C0262,2023-07-27 23:27:18,DELIVERED,CENTRAL
O00026,C0435,2023-01-17 10:53:11,RETURNED,SOUTH
O00027,C0082,2025-03-09 16:24:17,RETURNED,SOUTH
O00028,C0021,2025-01-21 02:18:49,CANCELLED,SOUTH
O00029,UNKNOWN,2023-04-08 15:38:02,SHIPPED,CENTRAL
O00030,C0470,2024-07-15 04:25:37,PLACED,NORTH
O00031,C0361,2025-10-04 10:45:18,DELIVERED,EAST
O00032,C0090,2025-06-17 20:56:36,CANCELLED,EAST
O00033,C0428,2025-07-01 22:15:16,DELIVERED,WEST
O00034,C0181,2023-12-13 06:17:11,DELIVERED,WEST
O00035,C0004,2025-01-18 22:22:00,SHIPPED,WEST
O00036,C0264,2023-09-15 06:13:57,SHIPPED,SOUTH
O00037,C0309,2023-10-18 08:20:55,PLACED,SOUTH
O00038,C0369,2024-10-06 01:55:06,CANCELLED,WEST
O00039,C0332,2023-11-24 07:36:45,PLACED,SOUTH
O00040,C0304,2023-03-09 00:32:14,RETURNED,NORTH
O00041,C0086,2025-06-07 23:44:45,SHIPPED,CENTRAL
O00042,C0289,2024-09-21 20:30:25,DELIVERED,NORTH
O00043,C0242,2023-12-03 11:11:16,SHIPPED,SOUTH
O00044,C0407,2024-09-30 02:29:53,SHIPPED,CENTRAL
O00045,C0086,2025-10-21 17:29:16,DELIVERED,WEST
O00046,C0118,2025-07-15 16:22:32,SHIPPED,NORTH
O00047,C0441,2023-01-26 17:29:58,CANCELLED,SOUTH
O00048,C0244,2025-07-29 15:05:13,RETURNED,NORTH
O00049,C0061,2025-04-05 13:08:40,SHIPPED,CENTRAL
O00050,C0460,2025-04-17 18:02:19,CANCELLED,CENTRAL
O00051,C0023,2024-10-15 12:14:13,CANCELLED,SOUTH
O00052,C0196,2025-01-18 22:51:53,RETURNED,NORTH
O00053,C0245,2024-10-22 23:23:40,PLACED,EAST
O00054,C0210,2025-07-18 09:57:19,PLACED,NORTH
O00055,UNKNOWN,2025-06-16 20:55:21,SHIPPED,EAST
O00056,C0080,2024-09-27 02:50:57,RETURNED,EAST
O00057,C0217,2024-02-10 22:04:40,RETURNED,EAST
O00058,C0105,2025-11-23 06:49:11,RETURNED,WEST
O00059,C0285,2023-10-05 15:08:58,DELIVERED,CENTRAL
O00060,C0204,2024-06-18 22:32:00,PLACED,SOUTH
O00061,C0487,2024-11-24 18:15:49,SHIPPED,CENTRAL
O00062,C0411,2024-09-14 05:59:34,PLACED,SOUTH
O00063,C0003,2024-08-27 10:50:11,SHIPPED,WEST
O00064,C0033,2025-07-21 10:46:19,DELIVERED,NORTH
O00065,C0197,2025-08-04 00:00:00,CANCELLED,CENTRAL
O00066,C0365,2025-10-16 07:59:08,PLACED,SOUTH
O00067,C0006,2025-09-21 15:47:25,RETURNED,EAST
O00068,C0307,2023-10-30 00:00:00,SHIPPED,CENTRAL
O00069,C0185,2023-09-21 06:46:48,PLACED,SOUTH
O00070,C0400,2023-05-15 21:44:04,CANCELLED,WEST
O00071,C0008,2025-06-29 10:39:08,PLACED,NORTH
O00072,C0425,2025-05-03 18:17:57,RETURNED,EAST
O00073,C0142,2024-06-23 18:48:36,SHIPPED,WEST
O00074,C0134,2024-09-19 12:35:19,RETURNED,NORTH
O00075,C0151,2025-05-17 19:15:45,PLACED,CENTRAL
O00076,C0417,2024-02-05 07:30:20,DELIVERED,WEST
O00077,C0395,2024-08-08 18:34:18,DELIVERED,WEST
O00078,C0301,2025-11-24 19:41:28,CANCELLED,NORTH
O00079,C0325,2024-02-05 12:13:03,SHIPPED,SOUTH
O00080,C0181,2024-05-05 11:17:36,PLACED,EAST
O00081,C0205,2024-01-21 15:42:52,DELIVERED,NORTH
O00082,C0244,2025-05-11 11:10:42,SHIPPED,CENTRAL
O00083,C0383,2024-02-22 23:52:20,SHIPPED,WEST
O00084,C0124,2023-11-07 04:06:29,SHIPPED,SOUTH
O00085,C0429,2023-11-11 23:41:06,SHIPPED,NORTH
O00086,C0347,2023-07-06 05:23:38,CANCELLED,CENTRAL
O00087,C0278,2023-01-11 06:56:54,CANCELLED,EAST
O00088,C0460,2025-08-22 04:09:38,RETURNED,EAST
O00089,C0392,2025-02-01 10:32:59,DELIVERED,WEST
O00090,C0066,2023-12-12 00:13:08,CANCELLED,WEST
O00091,C0178,2025-04-20 00:00:00,SHIPPED,WEST
O00092,C0236,2023-07-06 23:39:03,PLACED,NORTH
O00093,C0298,2025-11-13 04:23:01,DELIVERED,CENTRAL
O00094,C0135,2024-02-08 10:20:47,CANCELLED,CENTRAL
O00095,C0256,2024-06-16 23:33:47,CANCELLED,EAST
O00096,C0144,2024-07-21 03:05:37,RETURNED,SOUTH
O00097,C0417,2025-06-13 14:50:13,DELIVERED,SOUTH
O00098,C0196,2025-05-12 16:34:39,SHIPPED,WEST
O00099,C0256,2023-01-16 03:13:08,RETURNED,CENTRAL
O00100,C0154,2024-05-05 11:09:53,RETURNED,NORTH
O00101,C0084,2024-09-10 21:29:58,DELIVERED,WEST
O00102,C0382,2025-09-05 10:57:55,DELIVERED,EAST
O00103,C0415,2025-05-20 11:21:48,PLACED,WEST
O00104,C0348,2023-07-08 08:03:40,SHIPPED,CENTRAL
O00105,C0276,2025-06-13 14:54:05,DELIVERED,EAST
O00106,C0250,2024-05-20 00:14:39,CANCELLED,NORTH
O00107,C0238,2024-08-14 23:21:23,SHIPPED,SOUTH
O00108,C0173,2025-09-22 02:34:39,RETURNED,CENTRAL
O00109,C0037,2024-09-20 19:01:14,DELIVERED,SOUTH
O00110,C0150,2024-05-01 23:27:30,RETURNED,WEST
O00111,C0400,2024-02-26 08:51:43,DELIVERED,CENTRAL
O00112,C0212,2025-03-20 05:53:24,PLACED,SOUTH
O00113,C0482,2023-12-31 11:32:08,PLACED,SOUTH
O00114,C0049,2023-09-17 06:52:23,CANCELLED,CENTRAL
O00115,C0204,2023-03-25 00:00:00,PLACED,NORTH
O00116,C0044,2024-02-12 16:55:46,CANCELLED,EAST
O00117,C0146,2023-12-23 07:00:35,SHIPPED,SOUTH
O00118,UNKNOWN,2025-03-29 06:22:39,DELIVERED,EAST
O00119,C0446,2025-01-09 16:20:07,DELIVERED,CENTRAL
O00120,C0486,2024-11-22 01:01:16,SHIPPED,CENTRAL
O00121,C0384,2025-07-17 07:33:13,RETURNED,WEST
O00122,C0274,2025-03-24 03:59:45,DELIVERED,WEST
O00123,C0046,2025-04-18 08:17:09,DELIVERED,WEST
O00124,UNKNOWN,2024-02-08 14:18:31,SHIPPED,EAST
O00125,C0005,2024-03-21 11:16:17,CANCELLED,WEST
O00126,C0221,2024-04-10 00:00:00,RETURNED,SOUTH
O00127,C0097,2023-01-12 05:06:21,RETURNED,WEST
O00128,C0367,2024-09-05 05:25:27,CANCELLED,WEST
O00129,C0217,2023-12-09 16:16:54,RETURNED,CENTRAL
O00130,C0146,2025-12-13 23:22:57,RETURNED,EAST
O00131,C0036,2024-10-03 10:10:20,DELIVERED,NORTH
O00132,C0232,2025-09-16 09:04:52,RETURNED,WEST
O00133,UNKNOWN,2023-10-19 17:17:52,RETURNED,NORTH
O00134,C0145,2023-10-16 20:15:21,CANCELLED,NORTH
O00135,C0008,2023-12-28 15:48:16,DELIVERED,WEST
O00136,C0256,2024-04-29 00:25:14,CANCELLED,NORTH
O00137,C0385,2024-05-28 00:33:43,PLACED,EAST
O00138,C0241,2024-09-01 14:32:39,DELIVERED,WEST
O00139,C0394,2023-01-20 14:20:22,CANCELLED,WEST
O00140,C0018,2024-01-19 22:52:27,PLACED,CENTRAL
O00141,C0243,2025-10-31 14:34:24,DELIVERED,EAST
O00142,C0022,2023-09-04 09:27:46,RETURNED,CENTRAL
O00143,C0327,2023-07-09 17:45:56,DELIVERED,NORTH
O00144,C0058,2025-11-01 16:10:59,CANCELLED,EAST
