product_id,product_name,category,subcategory,cost_price
P0001,Premium Phone 381,Electronics,Laptops,1478.92
P0002,Deluxe Handbook 686,Books,Technology,3886.81
P0003,Pro Frame 659,Home,Lighting,2154.52
P0004,Pro Coat 369,Clothing,Dresses,4092.81
P0005,Smart Journal 930,Books,Fiction,3461.21
P0006,Ultra Journal 933,Books,Non-Fiction,343.82
P0007,Premium Shelf 431,Home,Lighting,1498.54
P0008,Elite Shelf 868,Home,Lighting,4597.91
P0009,Ultra Cushion 249,Home,Kitchen,4150.98
P0010,Ultra Digest 742,Books,History,2287.36
P0011,Premium Camera 565,Electronics,Headphones,1670.08
P0012,Deluxe  Camera  970,Electronics,Smartphones,2018.69
P0013,Deluxe Digest 430,Books,Non-Fiction,1721.89
P0014,Deluxe Jeans 798,Clothing,Accessories,277.42
P0015,Elite Masterclass 551,Books,Fiction,4959.6
P0016,Ultra Digest 262,Books,Non-Fiction,4389.15
P0017,Premium Laptop 480,Electronics,Tablets,3262.11
P0018,Premium Earbuds 539,Electronics,Headphones,3533.31
P0019,Deluxe Laptop 235,Electronics,Laptops,2621.25
P0020,Pro Collection 936,Books,Fiction,4308.68
P0021,Elite Sneakers 492,Clothing,Shoes,4039.49
P0022,Advanced Watch 240,Electronics,Tablets,4076.17
P0023,Elite Shirt 724,Clothing,Pants,2228.49
P0024,Classic Coat 980,Clothing,Pants,4488.14
P0025,Classic Jeans 539,Clothing,Shirts,742.16
P0026,Smart Rug 897,Home,Furniture,182.78
P0027,Smart Vase 402,Home,Kitchen,3929.82
P0028,Classic Jacket 346,Clothing,Shoes,2989.95
P0029,Advanced Speaker 496,Electronics,Tablets,2863.48
P0030,Ultra  Frame  888,Home,Lighting,384.29
P0031,Pro Chair 908,Home,Kitchen,1468.11
P0032,Classic Handbook 755,Books,History,3099.43
P0033,Premium Lamp 623,Home,Furniture,4872.85
P0034,Advanced Blazer 700,Clothing,Accessories,4180.91
P0035,Classic Earbuds 159,Electronics,Tablets,4626.91
P0036,Pro Watch 782,Electronics,Headphones,3716.26
P0037,Ultra Phone 267,Electronics,Smartphones,1766.19
P0038,Advanced Shelf 867,Home,Kitchen,1380.38
P0039,Advanced Tablet 378,Electronics,Smartphones,1351.6
P0040,Deluxe Camera 156,Electronics,Headphones,2856.09
P0041,Premium Lamp 687,Home,Kitchen,620.9
P0042,Pro Earbuds 147,Electronics,Smartphones,1945.75
P0043,Pro Blazer 329,Clothing,Pants,2110.47
P0044,Elite Curtain 222,Home,Bedding,4514.61
P0045,Pro Blazer 170,Clothing,Pants,4336.86
P0046,Elite Frame 108,Home,Bedding,1493.4
P0047,Smart Frame 477,Home,Lighting,2492.14
P0048,Smart Dress 106,Clothing,Accessories,168.36
P0049,Advanced Chair 877,Home,Furniture,4252.58
P0050,Smart Cushion 529,Home,Furniture,346.48
P0051,Elite Shirt 337,Clothing,Dresses,2622.81
P0052,Elite Lamp 617,Home,Decor,4108.82
P0053,Pro Tablet 778,Electronics,Cameras,1222.02
P0054,Classic Curtain 425,Home,Bedding,1206.38
P0055,Elite Dress 208,Clothing,Pants,2356.97
P0056,Advanced Journal 562,Books,Fiction,1361.79
P0057,Ultra Watch 946,Electronics,Smartphones,3036.35
P0058,Ultra Jacket 828,Clothing,Dresses,1810.93
P0059,Premium Speaker 131,Electronics,Tablets,4280.28
P0060,Deluxe Jacket 923,Clothing,Shirts,651.19
P0061,Ultra Earbuds 943,Electronics,Laptops,3447.11
P0062,Premium Laptop 122,Electronics,Cameras,1028.86
P0063,elite collection 225,Books,Non-Fiction,300.66
P0064,Deluxe Guide 491,Books,History,905.4
P0065,Premium Hoodie 556,Clothing,Pants,221.51
P0066,Deluxe Blazer 663,Clothing,Dresses,484.22
P0067,Classic Journal 758,Books,Non-Fiction,2652.78
P0068,Advanced Monitor 657,Electronics,Headphones,1752.97
P0069,Premium Shelf 126,Home,Decor,1134.15
P0070,Deluxe Curtain 885,Home,Furniture,1202.17
P0071,Smart Sneakers 372,Clothing,Shirts,3966.62
P0072,Classic Camera 959,Electronics,Laptops,909.87
P0073,ADVANCED JEANS 705,Clothing,Accessories,4740.42
P0074,Smart Coat 655,Clothing,Accessories,2477.66
P0075,Smart Earbuds 120,Electronics,Smartphones,53.38
P0076,Advanced Dress 921,Clothing,Pants,1651.76
P0077,Ultra Laptop 966,Electronics,Laptops,1856.2
P0078,Classic Laptop 444,Electronics,Tablets,725.44
P0079,Deluxe Jeans 278,Clothing,Shoes,2831.79
P0080,Ultra Vase 414,Home,Kitchen,1507.86
P0081,Classic Shirt 286,Clothing,Shirts,4609.14
P0082,Elite Coat 244,Clothing,Accessories,435.14
P0083,Ultra Lamp 941,Home,Bedding,3213.56
P0084,Pro Rug 314,Home,Decor,385.58
P0085,Pro Chair 495,Home,Furniture,2127.28
P0086,Deluxe Blazer 459,Clothing,Shoes,552.07
P0087,  Smart Masterclass 562,Books,Technology,1509.8
P0088,Elite Lamp 450,Home,Bedding,1908.52
P0089,Elite Camera 708,Electronics,Cameras,4471.47
P0090,ULTRA TABLET 260,Electronics,Headphones,1067.47
P0091,Premium Hoodie 404,Clothing,Shoes,295.7
P0092,Pro Collection 103,Books,Non-Fiction,1508.02
P0093,Elite Guide 311,Books,Non-Fiction,1494.47
P0094,Elite Watch 903,Electronics,Headphones,2471.03
P0095,Classic Shelf 479,Home,Furniture,1878.54
P0096,Premium Volume 576,Books,Fiction,4193.54
P0097,Elite Laptop 784,Electronics,Laptops,2730.17
P0098,Pro Blazer 938,Clothing,Accessories,4829.86
P0099,  Smart Volume 406,Books,Technology,2535.4
P0100,Deluxe Dress 271,Clothing,Shirts,4051.88
P0101,Classic Jacket 799,Clothing,Shirts,4986.48
P0102,Premium Jeans 844,Clothing,Accessories,381.71
P0103,Classic Collection 977,Books,Technology,2317.88
P0104,Classic Laptop 524,Electronics,Cameras,2854.64
P0105,Elite Watch 988,Electronics,Smartphones,1752.15
P0106,Classic Volume 685,Books,Science,235.46
